type,nom_complet,nom,code,description,couleur,notes,mnemo_produit,domaine_produit,cache,taxe,virtuel
EXPENSE,6-CHARGES:60-ACHATS:606-Fluides:Electricité,Electricité,6062,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:606-Fluides:Gaz,Gaz,6063,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:607-Loisirs,607-Loisirs,607,Dépenses - loisirs,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:60-ACHATS:609-Remises,609-Remises,609,"Rabais, remises et ristournes obtenus sur achats ou dépenses courantes",,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES,61-SERVICES,61,Services extérieurs,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:61-SERVICES:613-Locations,613-Locations,613,Locations,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:61-SERVICES:613-Locations:Loyer,Loyer,6132,Loyer à payer,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:614-Charges,614-Charges,614,Charges locatives et de copropriété ,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:61-SERVICES:614-Charges:Charges,Charges,6141,Charges communes,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:614-Charges:Chauffage,Chauffage,6142,Charges de chauffage,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:615-Entretien,615-Entretien,615,Entretiens et réparations,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:61-SERVICES:615-Entretien:Matériaux,Matériaux,6151,Matériaux,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:615-Entretien:Services,Services,6152,Réparations,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:616-Assurances,616-Assurances,616,Primes d'assurances,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:61-SERVICES:616-Assurances:Habitation,Habitation,6161,Assurance habitation,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:616-Assurances:Auto,Auto,6162,Assurance auto,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:616-Assurances:Resp. Civile,Resp. Civile,6163,Responsabilité civile,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:61-SERVICES:616-Assurances:Divers,Divers,6164,Autres assurances,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES,62-AUTRES,62,Autres services,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:622-Honoraires,622-Honoraires,622,Rémunérations d'intermédiaires et honoraires,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:622-Honoraires:Annonces,Annonces,6222,Commissions et courtages sur ventes,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:622-Honoraires:Honoraires,Honoraires,6226,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:622-Honoraires:Frais d'actes,Frais d'actes,6227,Frais d'actes et de contentieux ,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:623-Relations,623-Relations,623,"Publicité, publications, relations publiques",,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:623-Relations:Associations,Associations,6231,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:623-Relations:Cadeaux,Cadeaux,6234 ,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:624-Transports,624-Transports,624,Transports de biens et transports collectifs,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:624-Transports:Transports collectifs,Transports collectifs,6247,"Bus, train..",,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:625-Missions,625-Missions,625,"Déplacements, missions et réceptions",,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:625-Missions:Déplacements,Déplacements,6251,Voyages et déplacements,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:625-Missions:Réceptions,Réceptions,6257,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:626-Postes & Télécom,626-Postes & Télécom,626,Frais postaux et frais de télécommunications,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:626-Postes & Télécom:Frais d'envoi,Frais d'envoi,6261,Frais postaux,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:626-Postes & Télécom:Téléphone,Téléphone,6262,Frais de télécommunications,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:627-Services bancaires,627-Services bancaires,627,Services bancaires et assimilés ,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:62-AUTRES:627-Services bancaires:Frais sur titres,Frais sur titres,6271,"Frais sur titres (achat, vente, garde) ",,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:627-Services bancaires:Émissions d'emprunt,Émissions d'emprunt,6272,Commissions et frais sur émission d'emprunts,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:627-Services bancaires:Autres Frais,Autres Frais,6278,Autres frais et commissions sur prestations de services,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:62-AUTRES:628-Divers,628-Divers,628,Dépenses diverses,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:63-IMPÔTS,63-IMPÔTS,63,"Impôts, taxes et versements assimilés",,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:63-IMPÔTS:Revenu,Revenu,631,Impôt sur le revenu,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:63-IMPÔTS:Prélèvement libératoire,Prélèvement libératoire,632,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:63-IMPÔTS:Habitation,Habitation,635,Taxe d’habitation,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:63-IMPÔTS:Impôts Divers,Impôts Divers,636,Impôts divers,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:63-IMPÔTS:TVA,TVA,637,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL,64-PERSONNEL,64,Charges de personnel,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations,646-Cotisations,646,Cotisations sociales personnelles,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Maladie,Maladie,6461,Sécurité sociale et mutuelles,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Maladie:Sécurité Sociale,Sécurité Sociale,64611,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Maladie:Mutuelle,Mutuelle,64612,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Maladie:Prélèvement social,Prélèvement social,64614,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Retraite,Retraite,6462,Cotisations de retraite,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:Retraite:Retraite,Retraite,64621,Cotisations de Retraite,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:CSG-CRDS,CSG-CRDS,6463,Cotisation sociales,,,EUR,CURRENCY,F,F,T
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:CSG-CRDS:CSG Déductible,CSG Déductible,64631,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:CSG-CRDS:CSG Non Déduc.,CSG Non Déduc.,64632,,,,EUR,CURRENCY,F,F,F
EXPENSE,6-CHARGES:64-PERSONNEL:646-Cotisations:CSG-CRDS:CRDS,CRDS,64633,,,,EUR,CURRENCY,F,F,F
