Type;Le nom complet du compte;Nom du compte;Code du compte;Description;Couleur du compte;Notes;Symbole;Espace de noms;Caché;Informations d'imposition;Virtuel
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:161 Emprunts obligataires convertibles:1618 Intérêts courus sur emprunts obligataires convertibles;1618 Intérêts courus sur emprunts obligataires convertibles;1618;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:162 Obligations représentatives de passifs nets remis en fiducie;162 Obligations représentatives de passifs nets remis en fiducie;162;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:163 Autres emprunts obligataires;163 Autres emprunts obligataires;163;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:163 Autres emprunts obligataires:1638 Intérêts courus sur autres emprunts obligataires;1638 Intérêts courus sur autres emprunts obligataires;1638;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:164 Emprunts auprès des établissements de crédit;164 Emprunts auprès des établissements de crédit;164;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:164 Emprunts auprès des établissements de crédit:1648 Intérêts courus sur emprunts auprès des établissements de crédit;1648 Intérêts courus sur emprunts auprès des établissements de crédit;1648;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:165 Dépôts et cautionnements reçus;165 Dépôts et cautionnements reçus;165;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:165 Dépôts et cautionnements reçus:1651 Dépôts;1651 Dépôts;1651;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:165 Dépôts et cautionnements reçus:1655 Cautionnements;1655 Cautionnements;1655;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:165 Dépôts et cautionnements reçus:1658 Intérêts courus sur dépôts et cautionnements reçus;1658 Intérêts courus sur dépôts et cautionnements reçus;1658;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:166 Participation des salariés aux résultats;166 Participation des salariés aux résultats;166;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:166 Participation des salariés aux résultats:1661 Comptes bloqués;1661 Comptes bloqués;1661;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:166 Participation des salariés aux résultats:1662 Fonds de participation;1662 Fonds de participation;1662;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:166 Participation des salariés aux résultats:1668 Intérêts courus sur participation des salariés aux résultats;1668 Intérêts courus sur participation des salariés aux résultats;1668;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières;167 Emprunts et dettes assortis de conditions particulières;167;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières:1671 Émissions de titres participatifs;1671 Émissions de titres participatifs;1671;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières:1671 Émissions de titres participatifs:16718 Intérêts courus sur titres participatifs;16718 Intérêts courus sur titres participatifs;16718;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières:1674 Avances conditionnées de l'État;1674 Avances conditionnées de l'État;1674;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières:1674 Avances conditionnées de l'État:16748 Intérêts courus sur avances conditionnées;16748 Intérêts courus sur avances conditionnées;16748;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières:1675 Emprunts participatifs;1675 Emprunts participatifs;1675;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:167 Emprunts et dettes assortis de conditions particulières:1675 Emprunts participatifs:16758 Intérêts courus sur emprunts participatifs;16758 Intérêts courus sur emprunts participatifs;16758;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:168 Autres emprunts et dettes assimilées;168 Autres emprunts et dettes assimilées;168;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:168 Autres emprunts et dettes assimilées:1681 Autres emprunts;1681 Autres emprunts;1681;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:168 Autres emprunts et dettes assimilées:1685 Rentes viagères capitalisées;1685 Rentes viagères capitalisées;1685;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:168 Autres emprunts et dettes assimilées:1687 Autres dettes;1687 Autres dettes;1687;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:168 Autres emprunts et dettes assimilées:1688 Intérêts courus sur autres emprunts et dettes assimilées;1688 Intérêts courus sur autres emprunts et dettes assimilées;1688;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:16 Emprunts et dettes assimilées:169 Primes de remboursement des emprunts;169 Primes de remboursement des emprunts;169;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:17 Dettes rattachées à des participations;17 Dettes rattachées à des participations;17;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:17 Dettes rattachées à des participations:171 Dettes rattachées à des participations - groupe;171 Dettes rattachées à des participations - groupe;171;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:17 Dettes rattachées à des participations:174 Dettes rattachées à des participations - hors groupe;174 Dettes rattachées à des participations - hors groupe;174;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:17 Dettes rattachées à des participations:178 Dettes rattachées à des sociétés en participation;178 Dettes rattachées à des sociétés en participation;178;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:18 Comptes de liaison des établissements et sociétés en participation;18 Comptes de liaison des établissements et sociétés en participation;18;;;;EUR;CURRENCY;F;F;T
LIABILITY;1 COMPTES DE CAPITAUX:18 Comptes de liaison des établissements et sociétés en participation:181 Comptes de liaison des établissements;181 Comptes de liaison des établissements;181;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:18 Comptes de liaison des établissements et sociétés en participation:186 Biens et prestations de services échangés entre établissements - charges;186 Biens et prestations de services échangés entre établissements - charges;186;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:18 Comptes de liaison des établissements et sociétés en participation:187 Biens et prestations de services échangés entre établissements - produits;187 Biens et prestations de services échangés entre établissements - produits;187;;;;EUR;CURRENCY;F;F;F
LIABILITY;1 COMPTES DE CAPITAUX:18 Comptes de liaison des établissements et sociétés en participation:188 Comptes de liaison des sociétés en participation;188 Comptes de liaison des sociétés en participation;188;;;;EUR;CURRENCY;F;F;F
ASSET;2 COMPTES D'IMMOBILISATIONS;2 COMPTES D'IMMOBILISATIONS;2;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement;20 Immobilisations incorporelles et frais d’établissement;20;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:201 Frais d'établissement;201 Frais d'établissement;201;;;;EUR;CURRENCY;F;F;T
ASSET;2 COMPTES D'IMMOBILISATIONS:20 Immobilisations incorporelles et frais d’établissement:201 Frais d'établissement:2011 Frais de constitution;2011 Frais de constitution;2011;;;;EUR;CURRENCY;F;F;F
